Category,Name,Weight,Price,Store
Basmati Rice,Anchor Basmati Rice,5.00 kg,"Rs. 6,975.00",Cargills
Basmati Rice,Anchor Basmati Rice,2.00 kg,"Rs. 2,360.00",Cargills
Basmati Rice,Basmati Rice,1.00 kg,Rs. 550.00,Cargills
Basmati Rice,Daawat Super Basmati Rice,1.00 kg,"Rs. 1,790.00",Cargills
Basmati Rice,Daawat Devaaya Basmati Rice,5.00 kg,"Rs. 6,650.00",Cargills
Basmati Rice,Red Basmati Rice,1.00 kg,Rs. 525.00,Cargills
Basmati Rice,Daawat Devaaya Basmati Rice,1.00 kg,"Rs. 1,380.00",Cargills
Keeri Samba,My Choice Supiri Keeri Samba Rice,5.00 kg,"Rs. 1,300.00",Cargills
Keeri Samba,Keeri Samba Kekulu Bulk,1.00 kg,Rs. 260.00,Cargills
Keeri Samba,Nipuna Broken Keeri Samba,5.00 kg,"Rs. 1,300.00",Cargills
Keeri Samba,Sewmini Premium Keeri Samba,5.00 kg,"Rs. 1,300.00",Cargills
Keeri Samba,WHG Premium Keeri Samba Rice,5.00 kg,"Rs. 1,300.00",Cargills
Keeri Samba,Hiru Keeri Samba Rice,5.00 kg,"Rs. 1,300.00",Cargills
Keeri Samba,New Lanka Keeri Samba Rice,5.00 kg,"Rs. 1,300.00",Cargills
Keeri Samba,New Lanka Keeri Samba Raw Rice,5.00 kg,"Rs. 1,300.00",Cargills
Keeri Samba,Pulathisi Keeri Samba Rice,5.00 kg,"Rs. 1,300.00",Cargills
Nadu Rice,Araliya Premium Nadu Rice,5.00 kg,"Rs. 1,150.00",Cargills
Nadu Rice,Nipuna Nadu Rice,5.00 kg,"Rs. 1,150.00",Cargills
Nadu Rice,Rathna Nadu Rice,5.00 kg,"Rs. 1,150.00",Cargills
Nadu Rice,White Nadu Rice,1.00 kg,Rs. 218.00,Cargills
Nadu Rice,Hiru Nadu Rice,5.00 kg,"Rs. 1,150.00",Cargills
Nadu Rice,Red Nadu Rice,1.00 kg,Rs. 230.00,Cargills
Nadu Rice,Pulathisi Nadu Rice,5.00 kg,"Rs. 1,150.00",Cargills
Nadu Rice,My Choice Nadu Rice,5.00 kg,"Rs. 1,150.00",Cargills
Nadu Rice,New Lanka Premium Nadu Rice,5.00 kg,"Rs. 1,150.00",Cargills
Nadu Rice,WHG White Nadu Rice,5.00 kg,"Rs. 1,150.00",Cargills
Nadu Rice,Jathika Sathosa Nadu Rice,5.00 kg,"Rs. 1,150.00",Cargills
Nadu Rice,Helahasa Nadu Rice,5.00 kg,"Rs. 1,150.00",Cargills
Red Raw Rice,Red Raw Rice,1.00 kg,Rs. 203.00,Cargills
Red Raw Rice,Araliya Supiri Red Raw Rice,5.00 kg,"Rs. 1,100.00",Cargills
Red Raw Rice,Puluthisi Red Raw Rice,5.00 kg,"Rs. 1,100.00",Cargills
Red Raw Rice,Nipuna Red Raw Rice,5.00 kg,"Rs. 1,100.00",Cargills
Pasta,Delmege Delizia Pasta Elbow,400.00 g,Rs. 352.00,Cargills
Pasta,Delmege Delizia Pasta Penne,400.00 g,Rs. 396.00,Cargills
Pasta,Delmege Delizia Pasta Fusilli,400.00 g,Rs. 352.00,Cargills
Pasta,Mc Currie Chinese Chilli Paste,200.00 g,"Rs. 1,035.00",Cargills
Pasta,Dadd`s Chinese Chilli Paste,350.00 g,"Rs. 1,350.00",Cargills
Pasta,Pasta Roma Pasta Sauce Chilli,350.00 g,Rs. 820.00,Cargills
Pasta,Pasta Roma Pasta Sauce Garlic,350.00 g,Rs. 738.00,Cargills
Pasta,MD Tomato Paste,250.00 g,Rs. 425.00,Cargills
Pasta,MD Ginger Paste,225.00 g,"Rs. 1,150.00",Cargills
Pasta,Pasta Roma Pasta Sauce Herb,350.00 g,Rs. 820.00,Cargills
Pasta,MD Garlic Paste,250.00 g,Rs. 630.00,Cargills
Pasta,Kist Pasta Sauce,415.00 g,Rs. 540.00,Cargills
Pasta,Pastazara Penne Rigate,500.00 g,"Rs. 1,110.00",Cargills
Pasta,Pastazara Fussilli,500.00 g,"Rs. 1,060.00",Cargills
Pasta,Pastazara Farfalle,500.00 g,"Rs. 1,240.00",Cargills
Pasta,Pastazara Lasagne Gialle,500.00 g,"Rs. 1,375.00",Cargills
Pasta,Pastazara Fettuccine,500.00 g,"Rs. 1,605.00",Cargills
Pasta,Ma`s Yellow Rice Paste,50.00 g,Rs. 320.00,Cargills
Pasta,Kist Chilli Paste,1 Unit,"Rs. 1,700.00",Cargills
Pasta,Master Spice Vegetarian Chilli Paste,300.00 g,"Rs. 1,470.00",Cargills
Spaghetti,Roza Spaghetti,400.00 g,Rs. 475.00,Cargills
Spaghetti,San Remo Spaghetti No:5,500.00 g,Rs. 990.00,Cargills
Spaghetti,Crescent Spaghetti Bolognese,200.00 g,Rs. 580.00,Cargills
Spaghetti,Pastazara Spaghetti,500.00 g,"Rs. 1,015.00",Cargills
Noodles,Prima Kottu Mee Cheese & Onion Noodles,1 Unit,Rs. 108.00,Cargills
Noodles,Harischandra Kurakkan Noodles Packet,400.00 g,Rs. 270.00,Cargills
Noodles,Harischandra Yellow Noodles Packet,400.00 g,Rs. 270.00,Cargills
Noodles,Harischandra Red Noodles Packet,400.00 g,Rs. 280.00,Cargills
Noodles,Maggi Chicken Flavour Noodles,1 Unit,Rs. 115.00,Cargills
Noodles,Prima Twist Noodles,400.00 g,Rs. 290.00,Cargills
