Category,Name,Weight,Price,Store
Basmati Rice,Devaaya Basmati Rice 5Kg,5Kg,6650,Glomark
Basmati Rice,Banno Basmati Biriyani Rice 5Kg,5Kg,6550,Glomark
Basmati Rice,Daawat Super Basmati Rice 5Kg,5Kg,9120,Glomark
Basmati Rice,Falak Premium Basmati Rice 5Kg,5Kg,6250,Glomark
Basmati Rice,Daawat Super Basmati Rice 1Kg,1Kg,1790,Glomark
Basmati Rice,Banno Basmati Biriyani Rice 500G,500G,625,Glomark
Basmati Rice,India Gate Basmati Rice 5Kg,5Kg,4990,Glomark
Basmati Rice,India Gate Exotic Basmati Rice 5Kg,5Kg,7350,Glomark
Basmati Rice,India Gate Basmati Rice Excel 5Kg,5Kg,7550,Glomark
Basmati Rice,Banno Basmati Extra Long Rice 5Kg,5Kg,9990,Glomark
Basmati Rice,Banno Basmati Extra Long Rice 1Kg,1Kg,1190,Glomark
Basmati Rice,Star Gold Basmati Extra Long Grain Rice 5Kg,5Kg,6450,Glomark
Basmati Rice,Star Gold Basmati Extra Long Grain Rice 1Kg,1Kg,1350,Glomark
Keeri Samba,Kapuwatta Keeri Samba 5Kg,5Kg,1225,Glomark
Keeri Samba,Keeri Samba Rice - Bulk,1 Unit,26,Glomark
Keeri Samba,Hiru Rice Keeri Samba 5Kg,5Kg,825,Glomark
Keeri Samba,Derana Keeri Samba 5Kg - Derana,5Kg,625,Glomark
Keeri Samba,Nipuna Supiri Keeri Samba 10Kg,10Kg,2600,Glomark
Keeri Samba,Sandun Keeri Samba Rice 5Kg,5Kg,1300,Glomark
Keeri Samba,Araliya Keeri Samba Broken 5Kg,5Kg,1300,Glomark
Keeri Samba,New Rathna Rice Keeri Samba 10Kg,10Kg,2350,Glomark
Keeri Samba,Super Lanka Keeri Samba Broken 5Kg,5Kg,1350,Glomark
Keeri Samba,W.H.G PREMIUM KEERI SAMBA RICE 5KG,5KG,1300,Glomark
Keeri Samba,New Rathna Rice Broken Keeri Samba 5Kg,5Kg,1300,Glomark
Nadu Rice,Nipuna Rice White Nadu 10Kg,10Kg,2200,Glomark
Nadu Rice,Sandun White Nadu Rice 5Kg,5Kg,1150,Glomark
Nadu Rice,W.H.G WHITE NADU RICE 5KG,5KG,1150,Glomark
Nadu Rice,Araliya Rice Red Nadu 5Kg,5Kg,1150,Glomark
Nadu Rice,Araliya White Nadu Rice 5Kg,5Kg,1150,Glomark
Nadu Rice,White Nadu Rice Local - Bulk,1 Unit,23,Glomark
Nadu Rice,White Nadu Imported Rice - Bulk,1 Unit,22,Glomark
Nadu Rice,Nipuna White Nadu Rice 5Kg,5Kg,1150,Glomark
Nadu Rice,New Rathna Rice White Nadu 10Kg,10Kg,1600,Glomark
Nadu Rice,New Rathna Rice White Nadu 5Kg,5Kg,1150,Glomark
Nadu Rice,New Lanka Premium White Nadu Rice 5Kg,5Kg,1100,Glomark
Red Raw Rice,Araliya Rice Red Raw 10Kg,10Kg,2100,Glomark
Red Raw Rice,Nipuna Rice Red Raw 5Kg,5Kg,1050,Glomark
Red Raw Rice,Red Samba Raw Rice - Bulk,1 Unit,275,Glomark
Red Raw Rice,Yatiyana Red Raw Rice 10Kg,10Kg,2100,Glomark
Red Raw Rice,Yatiyana Red Raw Rice 5Kg,5Kg,1050,Glomark
Red Raw Rice,ARALIYA RED RAW RICE 5KG,5KG,1100,Glomark
Red Raw Rice,Red Raw Rice Local - Bulk,1 Unit,22,Glomark
Red Raw Rice,W.H.G RED RAW RICE 5KG,5KG,1100,Glomark
Red Raw Rice,New Lanka Premium Red Raw Rice 5Kg,5Kg,1050,Glomark
